State,Total Acres Burned
Alabama,20978
Alaska,667075
Arizona,282989
Arkansas,25444
California,1081144
Colorado,60539
Connecticut,339
Delaware,137
Florida,65618
Georgia,11896
Hawaii,452
Idaho,996762
Illinois,441
Indiana,154
Iowa,3965
Kansas,22217
Kentucky,24448
Louisiana,9058
Maine,295
Maryland,965
Massachusetts,4622
Michigan,2062
Minnesota,15125
Mississippi,55880
Missouri,95095
Montana,352491
Nebraska,113850
Nevada,70410
New Hampshire,127
New Jersey,12449
New Mexico,82531
New York,6496
North Carolina,18233
North Dakota,173237
Ohio,2441
Oklahoma,383592
Oregon,1797796
