cfg,arm,overall
anchor,DataflowSystemGPT5MiniDelta1kSchemaOnlyReplicate0,68.43
anchor,DataflowSystemGPT5MiniDelta1kSchemaOnlyReplicate1,63.01
anchor,DataflowSystemGPT5MiniDelta1kSchemaOnlyReplicate2,61.91
anchor,DataflowSystemGPT5MiniDelta1kSchemaOnlyReplicate3,65.86
anchor,DataflowSystemGPT5MiniDelta1kSchemaOnlyReplicate4,61.69
C1,DataflowSystemGPT5MiniDelta5kSchemaOnlyReplicate0,63.66
C1,DataflowSystemGPT5MiniDelta5kSchemaOnlyReplicate1,69.45
C1,DataflowSystemGPT5MiniDelta5kSchemaOnlyReplicate2,64.35
C1,DataflowSystemGPT5MiniDelta5kSchemaOnlyReplicate3,71.52
C1,DataflowSystemGPT5MiniDelta5kSchemaOnlyReplicate4,69.22
C2,DataflowSystemGPT5MiniDeltaStats1kD2Replicate0,63.75
C2,DataflowSystemGPT5MiniDeltaStats1kD2Replicate1,63.25
C2,DataflowSystemGPT5MiniDeltaStats1kD2Replicate2,66.95
C2,DataflowSystemGPT5MiniDeltaStats1kD2Replicate3,64.56
C2,DataflowSystemGPT5MiniDeltaStats1kD2Replicate4,66.14
C3,DataflowSystemGPT5MiniLatest1kCodeInSnapReplicate0,69.58
C3,DataflowSystemGPT5MiniLatest1kCodeInSnapReplicate1,70.5
C3,DataflowSystemGPT5MiniLatest1kCodeInSnapReplicate2,66.92
C3,DataflowSystemGPT5MiniLatest1kCodeInSnapReplicate3,77.09
C3,DataflowSystemGPT5MiniLatest1kCodeInSnapReplicate4,65.71
C4,DataflowSystemGPT5MiniDeltaStats5kD2Replicate0,67.89
C4,DataflowSystemGPT5MiniDeltaStats5kD2Replicate1,62.38
C4,DataflowSystemGPT5MiniDeltaStats5kD2Replicate2,67.22
C4,DataflowSystemGPT5MiniDeltaStats5kD2Replicate3,67.48
C4,DataflowSystemGPT5MiniDeltaStats5kD2Replicate4,71.65
C5,DataflowSystemGPT5MiniDeltaStats2kD2Replicate0,62.72
C5,DataflowSystemGPT5MiniDeltaStats2kD2Replicate1,71.54
C5,DataflowSystemGPT5MiniDeltaStats2kD2Replicate2,68.58
C5,DataflowSystemGPT5MiniDeltaStats2kD2Replicate3,66.91
C5,DataflowSystemGPT5MiniDeltaStats2kD2Replicate4,67.8
C6,DataflowSystemGPT5MiniLatestStats1kD2Replicate0,62.59
C6,DataflowSystemGPT5MiniLatestStats1kD2Replicate1,64.65
C6,DataflowSystemGPT5MiniLatestStats1kD2Replicate2,62.05
C6,DataflowSystemGPT5MiniLatestStats1kD2Replicate3,64.72
C6,DataflowSystemGPT5MiniLatestStats1kD2Replicate4,62.09
C7,DataflowSystemGPT5MiniDelta2kSchemaOnlyReplicate0,66.7
C7,DataflowSystemGPT5MiniDelta2kSchemaOnlyReplicate1,65.28
C7,DataflowSystemGPT5MiniDelta2kSchemaOnlyReplicate2,71.78
C7,DataflowSystemGPT5MiniDelta2kSchemaOnlyReplicate3,64.77
C7,DataflowSystemGPT5MiniDelta2kSchemaOnlyReplicate4,65.86
C8,DataflowSystemGPT5MiniLatest5kCodeInSnapReplicate0,68.43
C8,DataflowSystemGPT5MiniLatest5kCodeInSnapReplicate1,66.61
C8,DataflowSystemGPT5MiniLatest5kCodeInSnapReplicate2,73.35
C8,DataflowSystemGPT5MiniLatest5kCodeInSnapReplicate3,65.62
C8,DataflowSystemGPT5MiniLatest5kCodeInSnapReplicate4,72.95
CA1k,CodeAgentSystemGpt5MiniProxyChars1kGuided,56.55
CA1k,CodeAgentSystemGpt5MiniProxyChars1kGuidedReplicate1,61.36
CA1k,CodeAgentSystemGpt5MiniProxyChars1kGuidedReplicate2,55.42
CA1k,CodeAgentSystemGpt5MiniProxyChars1kGuidedReplicate3,58.69
CA1k,CodeAgentSystemGpt5MiniProxyChars1kGuidedReplicate4,55.19
CA5k,CodeAgentSystemGpt5MiniProxyChars5kGuided,54.8
CA5k,CodeAgentSystemGpt5MiniProxyChars5kGuidedReplicate1,61.99
CA5k,CodeAgentSystemGpt5MiniProxyChars5kGuidedReplicate2,60.63
CA5k,CodeAgentSystemGpt5MiniProxyChars5kGuidedReplicate3,64.27
CA5k,CodeAgentSystemGpt5MiniProxyChars5kGuidedReplicate4,57.67
