dimension,task_id,principle_match,rich_sut,lean_sut,answer,rich_cost,lean_cost,cost_gap,cost_ratio,rich_steps,lean_steps,rich_input_tokens,lean_input_tokens,input_gap,rich_total_tokens,lean_total_tokens,same_code,code_similarity,wf_ops,wf_links
mode,environment-hard-13,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52LatestStats7kD2,11,0.105699,0.020484,0.085215,4.160076157000586,9,5,82497,38185,44312,85250,38835,False,0.09951365506921063,3,2
sample,environment-hard-13,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52DeltaStats5kD2,11,0.105699,0.026432,0.079267,2.9989028450363198,9,5,82497,36107,46390,85250,37024,False,0.08583186360964139,3,2
sample,environment-hard-12,True,DataflowSystemGPT52Delta5kSchemaOnly,DataflowSystemGPT52Delta3kSchemaOnly,Wollaston Beach,0.183447,0.120722,0.062725,0.519582180547042,9,6,208438,97941,110497,214437,102731,False,0.2164227355551637,19,17
info,astronomy-hard-9,True,DataflowSystemGPT52LatestStats5kD2,DataflowSystemGPT52Latest5kSchemaOnly,24,0.144603,0.085285,0.05931800000000001,0.6955267632057222,12,5,161488,48150,113338,164706,50815,False,0.15618577887381832,7,5
info,wildfire-easy-2,True,DataflowSystemGPT52LatestStats5kD2,DataflowSystemGPT52Latest5kSchemaOnly,EACC,0.083017,0.040923,0.04209399999999999,1.0286147154411942,10,8,120299,67711,52588,122193,68751,False,0.1472668810289389,6,5
sample,environment-hard-14,True,DataflowSystemGPT52Latest7kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,Marine,0.097586,0.05762,0.03996600000000001,0.6936133287053108,4,7,57728,78076,-20348,59700,80093,False,0.2072992700729927,11,10
info,legal-hard-6,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52Delta7kSchemaOnly,1.1413,0.057143,0.017249,0.039894,2.312829729259667,9,5,63906,29455,34451,66105,30058,False,0.1374685666387259,3,2
sample,legal-hard-6,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52DeltaStats5kD2,1.1413,0.057143,0.017704,0.039439,2.227688657930411,9,5,63906,30571,33335,66105,31139,False,0.1884498480243161,3,2
mode,legal-hard-6,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52LatestStats7kD2,1.1413,0.057143,0.018079,0.039064,2.1607389789258256,9,5,63906,30091,33815,66105,30717,False,0.12294768995799923,3,2
sample,legal-hard-6,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52DeltaStats3kD2,1.1413,0.057143,0.019619,0.037524,1.9126357102808502,9,5,63906,30774,33132,66105,31439,False,0.1764032073310424,3,2
sample,environment-hard-18,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta3kSchemaOnly,True,0.091091,0.054811,0.03628000000000001,0.6619109302877161,4,4,69519,45495,24024,71814,47352,False,0.2245520902455209,13,12
info,legal-hard-18,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52Delta7kSchemaOnly,91000,0.072463,0.038301,0.034162,0.8919349364246364,7,5,61020,35592,25428,63162,37090,False,0.19602933285637633,8,7
mode,legal-hard-23,True,DataflowSystemGPT52DeltaStats3kD2,DataflowSystemGPT52LatestStats3kD2,District of Columbia,0.067867,0.034046,0.033821,0.9933912941314691,7,7,53325,48754,4571,54819,50002,False,0.25994092251760964,5,4
sample,environment-hard-10,True,DataflowSystemGPT52LatestStats7kD2,DataflowSystemGPT52LatestStats3kD2,0.206,0.079915,0.04753,0.032385,0.6813591415947822,9,7,99024,63453,35571,102103,65310,False,0.07318770001391402,7,6
sample,environment-easy-5,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta3kSchemaOnly,Ashburnham,0.057041,0.024816,0.032225000000000004,1.2985573823339782,4,4,43990,33336,10654,44740,34052,False,0.5963213939980639,5,4
sample,wildfire-easy-3,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta3kSchemaOnly,"['California', 'Nevada']",0.087932,0.055989,0.031943,0.5705227812606047,8,7,80138,55813,24325,81456,57386,False,0.19528217378321888,6,5
info,astronomy-easy-5,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52Delta5kSchemaOnly,2,0.078289,0.04928,0.029009,0.5886566558441558,7,6,78815,52528,26287,81064,53730,False,0.15950649922890506,4,3
sample,environment-easy-5,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta5kSchemaOnly,Ashburnham,0.057041,0.029144,0.027897,0.9572124622563821,4,4,43990,40228,3762,44740,40910,False,0.6964375313597592,5,4
sample,environment-easy-5,True,DataflowSystemGPT52Latest5kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,Ashburnham,0.04937,0.022398,0.026971999999999996,1.2042146620233947,4,4,39853,32826,7027,40529,33433,False,0.707823310271421,5,4
sample,astronomy-easy-1,True,DataflowSystemGPT52Latest7kSchemaOnly,DataflowSystemGPT52Latest5kSchemaOnly,15,0.071544,0.045206,0.026337999999999993,0.5826217758704595,9,7,57727,45971,11756,61511,47644,False,0.1607597083262676,9,8
sample,legal-hard-24,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta3kSchemaOnly,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",0.066454,0.041398,0.025056000000000002,0.6052466302719939,8,5,79726,36800,42926,82067,38469,False,0.2694406548431105,7,6
sample,legal-hard-18,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52DeltaStats5kD2,91000,0.072463,0.049904,0.022559000000000003,0.4520479320294967,7,7,61020,57430,3590,63162,59403,False,0.171007371007371,8,7
sample,wildfire-hard-20,True,DataflowSystemGPT52Latest7kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,0.0465,0.046743,0.025292,0.021451,0.8481337972481418,7,7,56590,48475,8115,57391,49219,False,0.11093831000518403,5,3
info,biomedical-hard-1,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52Delta7kSchemaOnly,0.4765,0.066049,0.044874,0.021175,0.47187681062530645,7,6,104744,51751,52993,106276,53369,False,0.40662874103388574,10,7
mode,legal-hard-22,True,DataflowSystemGPT52DeltaStats7kD2,DataflowSystemGPT52LatestStats7kD2,0.0555,0.053563,0.032759,0.020803999999999996,0.6350621203333433,7,7,54670,54076,594,55795,55042,False,0.14696312364425163,5,4
sample,environment-hard-15,True,DataflowSystemGPT52Latest5kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,Damon Pond Beach (DCR),0.052163,0.032439,0.019724,0.6080335398748419,7,7,73065,57586,15479,74109,58580,False,0.022278117139777218,8,7
sample,wildfire-hard-16,True,DataflowSystemGPT52Delta7kSchemaOnly,DataflowSystemGPT52Delta5kSchemaOnly,"[6.326, 0.787]",0.043531,0.024239,0.019292,0.7959074219233466,6,6,47099,39681,7418,47777,40297,False,0.29731499672560574,4,2
sample,biomedical-easy-9,True,DataflowSystemGPT52Latest7kSchemaOnly,DataflowSystemGPT52Latest3kSchemaOnly,-0.008003975,0.054605,0.036406,0.018199,0.49989012800087895,9,8,77374,58514,18860,78601,59733,False,0.5109634551495017,9,1
info,wildfire-easy-3,True,DataflowSystemGPT52DeltaStats5kD2,DataflowSystemGPT52Delta5kSchemaOnly,"['California', 'Nevada']",0.054338,0.036363,0.017974999999999998,0.4943211506201358,7,7,70804,57201,13603,71782,58293,False,0.35658914728682173,5,4
